LATITUDE,LONGITUDE,OFFENSE,Count
38.90372542,-77.01755835,THEFT/OTHER,24
38.91873567,-77.04317289,THEFT F/AUTO,3
38.89403201,-76.97987346,MOTOR VEHICLE THEFT,1
38.87555741,-77.00586584,THEFT/OTHER,3
38.98037472,-77.02878375,THEFT F/AUTO,1
38.90368775,-77.02629717,THEFT/OTHER,12
38.90490437,-77.02401488,THEFT F/AUTO,13
38.94774471,-77.03643042,THEFT F/AUTO,1
38.89844569,-77.02243337,THEFT F/AUTO,3
38.82162351,-77.01108947,THEFT/OTHER,14
38.90659619,-77.03139417,THEFT/OTHER,2
38.9269837,-77.02443748,THEFT/OTHER,3
38.89492771,-76.92373489,HOMICIDE,1
38.94031719,-77.09348886,THEFT F/AUTO,1
38.90723526,-77.03326221,THEFT F/AUTO,3
38.93766799,-77.02228424,BURGLARY,1
38.95407967,-77.02871544,THEFT F/AUTO,3
38.90074386,-77.01618575,THEFT/OTHER,1
38.90036362,-77.02652651,THEFT/OTHER,4
38.94572148,-77.02181379,THEFT/OTHER,1
38.90423327,-77.04030496,THEFT/OTHER,36
38.92980017,-77.03647891,THEFT/OTHER,14
38.88026884,-76.99498662,THEFT/OTHER,6
38.90086021,-77.02091239,THEFT F/AUTO,10
38.93408929,-76.96746342,BURGLARY,1
38.90184396,-77.00281295,MOTOR VEHICLE THEFT,1
38.94878456,-77.06802828,THEFT F/AUTO,1
38.93351321,-77.03087548,THEFT/OTHER,5
38.9153604,-77.07353113,THEFT F/AUTO,1
38.89811431,-76.99265674,THEFT/OTHER,6
38.95147772,-77.0220809,THEFT F/AUTO,2
38.92370723,-76.99900825,BURGLARY,1
38.91628031,-77.03079883,ROBBERY,1
38.93562191,-76.97216857,THEFT/OTHER,1
38.95837701,-77.02705575,THEFT/OTHER,3
38.90019544,-76.99731392,THEFT F/AUTO,8
38.92664221,-76.97987579,THEFT F/AUTO,1
38.90086874,-77.02347169,THEFT/OTHER,8
38.95663411,-77.07715029,BURGLARY,2
38.90519697,-77.04085889,THEFT/OTHER,25
38.91325706,-76.9890923,THEFT F/AUTO,4
38.89830916,-77.02885438,THEFT/OTHER,50
38.90940198,-76.9975557,THEFT F/AUTO,35
38.96444547,-77.07531256,THEFT/OTHER,36
38.87645724,-77.01641073,THEFT/OTHER,7
38.885349,-76.98743685,THEFT F/AUTO,4
38.91967978,-77.0477053,THEFT/OTHER,3
38.88534918,-76.98930403,MOTOR VEHICLE THEFT,1
38.9382871,-77.03273458,THEFT/OTHER,3
38.86031033,-76.96583791,THEFT/OTHER,87
38.87399839,-77.01292992,ROBBERY,1
38.85313008,-76.96404413,THEFT/OTHER,34
38.95341658,-77.00148825,THEFT/OTHER,9
38.95604699,-77.0012691,THEFT/OTHER,19
38.92525353,-77.02704319,BURGLARY,1
38.85456424,-76.97057574,THEFT/OTHER,4
38.91445322,-77.02397197,THEFT F/AUTO,13
38.92951301,-77.03273055,BURGLARY,1
38.89522829,-77.02886466,THEFT/OTHER,69
38.85174426,-76.96924053,HOMICIDE,1
38.89548079,-76.97219576,ROBBERY,2
38.88816706,-76.93122268,THEFT/OTHER,1
38.96444547,-77.07531256,THEFT F/AUTO,6
38.91111353,-77.0035743,THEFT F/AUTO,2
38.88253865,-76.99024954,ASSAULT W/DANGEROUS WEAPON,1
38.90258427,-77.06195476,THEFT F/AUTO,5
38.86781876,-76.98841939,BURGLARY,1
38.928957,-77.02472798,THEFT F/AUTO,3
38.89666511,-77.04347078,THEFT/OTHER,2
38.90033755,-77.0219152,THEFT F/AUTO,5
38.91112024,-77.02346353,THEFT F/AUTO,3
38.90020344,-77.01557463,ROBBERY,1
38.90372542,-77.01755835,THEFT F/AUTO,20
38.9217116,-76.96651193,THEFT F/AUTO,5
38.9230903,-76.9680681,THEFT F/AUTO,4
38.92257686,-76.96816058,THEFT F/AUTO,4
